ID;Var;Dormancy;Box;LT;VisualPhenotype;MaxLength;NbRamif;IDramif;Origin;RamifLength;NbLeaves;MeanInternodeLengthRamif
B21;BARVINCE;7;1;C;E;22;1;B21R1;B;22;11;2
B21;BARVINCE;7;1;C;E;22;2;B21R2;B;9;6;1,5
B21;BARVINCE;7;1;C;E;22;3;B21R3;C;7;6;1,166666667
B21;BARVINCE;7;1;C;E;22;4;B21R4;C;4;6;0,666666667
B21;BARVINCE;7;1;C;E;22;5;B21R5;C;0,1;3;0,033333333
B21;BARVINCE;7;1;C;E;22;6;B21R6;C;11,5;6;1,916666667
B22;BARVINCE;7;3;S;E;39;1;B22R1;B;39;9;4,333333333
B22;BARVINCE;7;3;S;E;39;2;B22R2;B;11;7;1,571428571
B22;BARVINCE;7;3;S;E;39;3;B22R3;C;8;5;1,6
B22;BARVINCE;7;3;S;E;39;4;B22R4;C;1;5;0,2
B22;BARVINCE;7;3;S;E;39;5;B22R5;C;5;6;0,833333333
B22;BARVINCE;7;3;S;E;39;6;B22R6;C;0,1;3;0,033333333
B23;BARVINCE;7;2;C;B;17,5;1;B23R1;B;17,5;16;1,09375
B23;BARVINCE;7;2;C;B;17,5;2;B23R2;B;3;5;0,6
B23;BARVINCE;7;2;C;B;17,5;3;B23R3;B;12;10;1,2
B23;BARVINCE;7;2;C;B;17,5;4;B23R4;C;2;7;0,285714286
B23;BARVINCE;7;2;C;B;17,5;5;B23R5;C;7,5;8;0,9375
B23;BARVINCE;7;2;C;B;17,5;6;B23R2;C;10,5;17;0,617647059
B24;BARVINCE;7;4;S;M;14;1;B24R1;B;14;8;1,75
B24;BARVINCE;7;4;S;M;14;2;B24R2;C;0,1;4;0,025
B24;BARVINCE;7;4;S;M;14;3;B24R3;C;13;8;1,625
B24;BARVINCE;7;4;S;M;14;4;B24R4;C;3;7;0,428571429
B24;BARVINCE;7;4;S;M;14;5;B24R5;C;5;7;0,714285714
B25;BARVINCE;7;2;C;B;11,5;1;B25R1;B;11,5;13;0,884615385
B25;BARVINCE;7;2;C;B;11,5;2;B25R2;C;6;12;0,5
B25;BARVINCE;7;2;C;B;11,5;3;B25R3;C;6;6;1
B25;BARVINCE;7;2;C;B;11,5;4;B25R4;C;5;6;0,833333333
B26;BARVINCE;7;4;S;M;19;1;B26R1;B;19;8;2,375
B26;BARVINCE;7;4;S;M;19;2;B26R2;B;4;5;0,8
B26;BARVINCE;7;4;S;M;19;3;B26R3;C;0,1;3;0,033333333
B26;BARVINCE;7;4;S;M;19;4;B26R4;C;8;5;1,6
B27;BARVINCE;7;4;S;E;27;1;B27R1;B;27;9;3
B27;BARVINCE;7;4;S;E;27;2;B27R2;B;9;7;1,285714286
B27;BARVINCE;7;4;S;E;27;3;B27R3;B;15;8;1,875
B27;BARVINCE;7;4;S;E;27;4;B27R4;B;2,5;6;0,416666667
B27;BARVINCE;7;4;S;E;27;5;B27R5;C;7;5;1,4
B27;BARVINCE;7;4;S;E;27;6;B27R6;C;0,1;2;0,05
B28;BARVINCE;7;1;C;B;17;1;B28R1;B;9,5;7;1,357142857
B28;BARVINCE;7;1;C;B;17;2;B28R2;B;17;8;2,125
B28;BARVINCE;7;1;C;B;17;3;B28R3;C;2;4;0,5
B28;BARVINCE;7;1;C;B;17;4;B28R4;C;5;7;0,714285714
B28;BARVINCE;7;1;C;B;17;5;B28R5;C;10;6;1,666666667
B28;BARVINCE;7;1;C;B;17;6;B28R6;C;0,2;3;0,066666667
B28;BARVINCE;7;1;C;B;17;7;B28R7;C;3;5;0,6
B28;BARVINCE;7;1;C;B;17;8;B28R78;C;12;7;1,714285714
B29;BARVINCE;7;4;S;E;38;1;B29R1;B;24;12;2
B29;BARVINCE;7;4;S;E;38;2;B29R2;C;38;13;2,923076923
B29;BARVINCE;7;4;S;E;38;3;B29R3;C;22;9;2,444444444
B29;BARVINCE;7;4;S;E;38;4;B29R4;C;9;12;0,75
B30;BARVINCE;7;3;S;E;30;1;B30R1;B;24;8;3
B30;BARVINCE;7;3;S;E;30;2;B30R2;C;30;9;3,333333333
B30;BARVINCE;7;3;S;E;30;3;B30R3;C;5;5;1
B30;BARVINCE;7;3;S;E;30;4;B30R4;C;1;4;0,25
