ID;Var;Dormancy;Box;LT;LAI0;LAI8;LAI10;LAI13;LAI17;LAI20;LAI23
B11;BARVINCE;7;2;C;0,33090757;0,437557507;0,424257633;0,716520284;0,804516939;0,852781263;1
B12;BARVINCE;7;3;S;0,376753887;0,426052332;0,561054228;0,776924535;0,79616989;0,927853622;1
B13;BARVINCE;7;1;C;;0,919107057;0,563130101;0,787325972;0,71843495;0,805568891;0,825012002
B14;BARVINCE;7;2;C;0,424322379;;0,385224274;0,525545694;0,552170784;0,624370353;0,591988486
B15;BARVINCE;7;2;C;0,47271924;0,628009719;0,515794124;0,794565938;1;0,882703777;0,962889331
B16;BARVINCE;7;4;S;0,417132216;0,376841036;0,435246318;0,637040799;0,954460809;0,810055866;1
B17;BARVINCE;7;4;S;0,393208068;0,546285123;0,68246854;0,948801931;0,848474401;0,950353387;1
B18;BARVINCE;7;1;C;0,736370819;0,623255201;0,591124572;0,972741638;0,964577298;0,955491177;1
B19;BARVINCE;7;1;C;0,660736196;0,603527607;0,612730061;0,864263804;0,872699387;0,820398773;1
B20;BARVINCE;7;4;S;;0,394020646;0,484649417;0,770076418;0,741252179;0,831344684;0,859364526
B21;BARVINCE;7;1;C;0,434017595;0,432341852;0,434645999;0,714076246;0,710305823;0,8640553;1
B22;BARVINCE;7;3;S;0,447433097;0,426815948;0,532632441;0,760786455;0,803113053;0,810895685;1
B23;BARVINCE;7;2;C;0,769184532;;0,53396113;0,806451613;0,830695251;1;0,963935083
B24;BARVINCE;7;4;S;0,568891908;0,42742092;0,434504172;0,736755288;0,729380943;0,947506307;1
B25;BARVINCE;7;2;C;0,643260496;0,532776823;0,52025534;;0,882641787;0,940584336;1
B26;BARVINCE;7;4;S;0,27961264;0,317431193;0,390214067;0,636493374;0,652803262;0,827013252;1
B27;BARVINCE;7;4;S;0,315850816;0,313649314;0,394586895;0,67042217;0,694379694;0,827246827;1
B28;BARVINCE;7;1;C;0,795503727;;0,614089925;0,817985093;0,900456841;0,962851647;1
B29;BARVINCE;7;4;S;0,252883411;0,402293548;0,479272392;0,763065972;0,728794569;0,980623476;1
B30;BARVINCE;7;3;S;0,385868857;0,668622083;0,492764959;0,800026072;0,778255768;0,834702125;1
