ID;Var;Dormancy;Box;LT;Time;LAI;MaxLAI
B29;BARVINCE;7;4;S;10;7272;15173
B30;BARVINCE;7;3;S;10;3780;7671
L1;LUZELLE;2;4;S;13;6384;7518
L2;LUZELLE;2;2;C;13;7873;7873
L3;LUZELLE;2;1;C;13;9895;9895
L4;LUZELLE;2;2;C;13;6625;7102
L5;LUZELLE;2;3;S;13;9170;9996
L6;LUZELLE;2;3;S;13;3740;4082
L7;LUZELLE;2;3;S;13;;5175
L8;LUZELLE;2;3;S;13;10864;11765
L9;LUZELLE;2;4;S;13;5879;6383
L10;LUZELLE;2;1;C;13;8331;8545
L11;LUZELLE;2;3;S;13;12374;13004
L12;LUZELLE;2;4;S;13;11369;13724
L13;LUZELLE;2;2;C;13;5708;7652
L14;LUZELLE;2;2;C;13;5222;6709
L15;LUZELLE;2;4;S;13;8560;9137
L16;LUZELLE;2;4;S;13;5865;8678
L17;LUZELLE;2;2;C;13;3121;4724
L18;LUZELLE;2;2;C;13;5347;5347
L19;LUZELLE;2;4;S;13;6405;10124
L20;LUZELLE;2;2;C;13;8291;9817
L21;LUZELLE;2;1;C;13;5869;7773
L22;LUZELLE;2;2;C;13;5534;7447
L23;LUZELLE;2;4;S;13;2047;4028
L24;LUZELLE;2;1;C;13;3599;4098
L25;LUZELLE;2;1;C;13;6877;6877
L26;LUZELLE;2;4;S;13;6678;9513
L27;LUZELLE;2;3;S;13;3644;3741
L28;LUZELLE;2;3;S;13;5860;6672
L29;LUZELLE;2;1;C;13;4156;5431
L30;LUZELLE;2;1;C;13;2295;3938
A1;ANTANE;2;3;S;13;5878;6347
A2;ANTANE;2;1;C;13;10077;10077
A3;ANTANE;2;3;S;13;;4701
A4;ANTANE;2;4;S;13;4231;5487
A5;ANTANE;2;4;S;13;6427;8499
A6;ANTANE;2;4;S;13;;6261
A7;ANTANE;2;2;C;13;7316;7743
A8;ANTANE;2;2;C;13;9780;12447
A9;ANTANE;2;2;C;13;9974;11379
A10;ANTANE;2;1;C;13;13034;13034
A11;ANTANE;2;2;C;13;11980;12144
A12;ANTANE;2;1;C;13;6019;7236
A13;ANTANE;2;2;C;13;3626;5247
A14;ANTANE;2;3;S;13;7239;7239
A15;ANTANE;2;3;S;13;7361;7361
A16;ANTANE;2;3;S;13;3662;5873
A17;ANTANE;2;3;S;13;10324;10324
A18;ANTANE;2;2;C;13;15046;15046
A19;ANTANE;2;1;C;13;14641;14641
A20;ANTANE;2;4;S;13;3209;7004
A21;ANTANE;2;1;C;13;9056;9056
A22;ANTANE;2;1;C;13;8617;8617
A23;ANTANE;2;1;C;13;2989;5094
A24;ANTANE;2;3;S;13;6790;6790
